Файл	Шум	PSNR(размытое)	SSIM(размытое)	PSNR(восст.)	SSIM(восст.)	delta_ssim	delta_psnr
5.1.12_frt1_noise0.01.pt	0.01	16.81	0.7667	14.98	0.73	-0.03	-1.83
5.1.12_frt4_noise0.05.pt	0.05	14.56	0.6175	11.21	0.53	-0.09	-3.35
5.1.12_frt2_noise0.05.pt	0.05	15.38	0.6807	16.34	0.78	0.10	0.96
5.1.12_frt4_noise0.01.pt	0.01	14.85	0.6331	15.04	0.73	0.10	0.19
5.1.12_frt4_noise0.1.pt	0.1	13.83	0.5745	11.11	0.52	-0.06	-2.72
5.1.12_frt3_noise0.05.pt	0.05	15.03	0.6435	14.72	0.71	0.07	-0.30
5.1.12_frt1_noise0.05.pt	0.05	16.34	0.7464	11.40	0.54	-0.21	-4.94
5.1.12_frt3_noise0.1.pt	0.1	14.19	0.5949	13.76	0.66	0.06	-0.43
5.1.12_frt2_noise0.01.pt	0.01	15.76	0.6998	18.66	0.86	0.16	2.90
5.1.12_frt2_noise0.1.pt	0.1	14.50	0.6317	12.52	0.60	-0.03	-1.97
5.1.12_frt1_noise0.1.pt	0.1	15.28	0.6951	12.10	0.58	-0.12	-3.17
5.1.12_frt3_noise0.01.pt	0.01	15.37	0.6614	19.92	0.89	0.23	4.56
