Файл	Шум	PSNR(размытое)	SSIM(размытое)	PSNR(восст.)	SSIM(восст.)	delta_ssim	delta_psnr
ruler.512_frt4_noise0.01.pt	0.01	10.11	0.0310	10.74	0.23	0.19	0.63
ruler.512_frt2_noise0.01.pt	0.01	10.00	0.0028	10.73	0.23	0.22	0.73
ruler.512_frt3_noise0.01.pt	0.01	10.05	0.0095	10.27	0.07	0.06	0.22
ruler.512_frt4_noise0.1.pt	0.1	9.80	0.0282	10.38	0.11	0.08	0.58
ruler.512_frt3_noise0.05.pt	0.05	9.95	0.0087	10.25	0.09	0.08	0.30
ruler.512_frt4_noise0.05.pt	0.05	10.02	0.0299	10.51	0.21	0.18	0.49
ruler.512_frt2_noise0.1.pt	0.1	9.70	0.0022	10.30	0.08	0.07	0.60
ruler.512_frt1_noise0.05.pt	0.05	10.01	0.0284	10.52	0.21	0.18	0.51
ruler.512_frt3_noise0.1.pt	0.1	9.73	0.0073	10.17	0.04	0.03	0.44
ruler.512_frt1_noise0.01.pt	0.01	10.11	0.0303	10.75	0.23	0.20	0.64
ruler.512_frt1_noise0.1.pt	0.1	9.79	0.0246	10.06	0.17	0.14	0.27
ruler.512_frt2_noise0.05.pt	0.05	9.91	0.0018	10.55	0.21	0.21	0.64
