Файл	Шум	PSNR(размытое)	SSIM(размытое)	PSNR(восст.)	SSIM(восст.)	delta_ssim	delta_psnr
5.1.12_frt1_noise0.01.pt	0.01	16.81	0.7667	23.11	0.95	0.18	6.30
5.1.12_frt4_noise0.05.pt	0.05	14.56	0.6175	18.27	0.86	0.24	3.71
5.1.12_frt2_noise0.05.pt	0.05	15.38	0.6807	18.71	0.87	0.19	3.33
5.1.12_frt4_noise0.01.pt	0.01	14.85	0.6331	22.98	0.95	0.32	8.13
5.1.12_frt4_noise0.1.pt	0.1	13.83	0.5745	14.41	0.70	0.13	0.58
5.1.12_frt3_noise0.05.pt	0.05	15.03	0.6435	19.52	0.89	0.24	4.49
5.1.12_frt1_noise0.05.pt	0.05	16.34	0.7464	18.07	0.85	0.11	1.73
5.1.12_frt3_noise0.1.pt	0.1	14.19	0.5949	16.19	0.78	0.18	2.00
5.1.12_frt2_noise0.01.pt	0.01	15.76	0.6998	22.66	0.94	0.24	6.90
5.1.12_frt2_noise0.1.pt	0.1	14.50	0.6317	15.11	0.74	0.11	0.62
5.1.12_frt1_noise0.1.pt	0.1	15.28	0.6951	14.79	0.73	0.03	-0.48
5.1.12_frt3_noise0.01.pt	0.01	15.37	0.6614	21.38	0.92	0.26	6.02
