Файл	Шум	PSNR(размытое)	SSIM(размытое)	PSNR(восст.)	SSIM(восст.)	delta_ssim	delta_psnr
ruler.512_frt4_noise0.01.pt	0.01	10.11	0.0310	10.52	0.21	0.18	0.41
ruler.512_frt2_noise0.01.pt	0.01	10.00	0.0028	10.57	0.22	0.22	0.57
ruler.512_frt3_noise0.01.pt	0.01	10.05	0.0095	10.22	0.08	0.07	0.17
ruler.512_frt4_noise0.1.pt	0.1	9.80	0.0282	9.95	0.16	0.13	0.15
ruler.512_frt3_noise0.05.pt	0.05	9.95	0.0087	10.09	0.09	0.08	0.14
ruler.512_frt4_noise0.05.pt	0.05	10.02	0.0299	10.37	0.20	0.17	0.35
ruler.512_frt2_noise0.1.pt	0.1	9.70	0.0022	10.04	0.17	0.17	0.35
ruler.512_frt1_noise0.05.pt	0.05	10.01	0.0284	10.29	0.22	0.19	0.28
ruler.512_frt3_noise0.1.pt	0.1	9.73	0.0073	9.80	0.04	0.03	0.07
ruler.512_frt1_noise0.01.pt	0.01	10.11	0.0303	10.60	0.24	0.21	0.49
ruler.512_frt1_noise0.1.pt	0.1	9.79	0.0246	10.02	0.18	0.15	0.23
ruler.512_frt2_noise0.05.pt	0.05	9.91	0.0018	8.56	0.17	0.17	-1.35
