Файл	Шум	PSNR(размытое)	SSIM(размытое)	PSNR(восст.)	SSIM(восст.)	delta_ssim	delta_psnr
house_frt1_noise0.1.pt	0.1	13.64	0.3752	19.71	0.85	0.48	6.07
house_frt4_noise0.05.pt	0.05	13.37	0.2534	22.04	0.91	0.65	8.67
house_frt1_noise0.01.pt	0.01	14.73	0.4365	22.73	0.92	0.48	8.00
house_frt2_noise0.05.pt	0.05	13.40	0.2533	21.81	0.90	0.65	8.41
house_frt2_noise0.1.pt	0.1	12.76	0.2268	19.91	0.85	0.63	7.15
house_frt1_noise0.05.pt	0.05	14.44	0.4207	22.09	0.91	0.49	7.66
house_frt3_noise0.01.pt	0.01	14.44	0.3639	21.30	0.88	0.52	6.85
house_frt4_noise0.01.pt	0.01	13.60	0.2626	22.80	0.92	0.66	9.20
house_frt4_noise0.1.pt	0.1	12.74	0.2256	19.53	0.84	0.62	6.79
house_frt3_noise0.05.pt	0.05	14.16	0.3487	20.98	0.88	0.53	6.82
house_frt3_noise0.1.pt	0.1	13.41	0.3107	20.08	0.85	0.54	6.67
house_frt2_noise0.01.pt	0.01	13.64	0.2639	22.39	0.91	0.65	8.76
